deal id,seller id,seller,brand,category,product name,stock,sell price,discount value,discounted price,discount_ratio
13144315,218031,더베이스_W,1017 ALYX 9SM,스니커즈,1017 알릭스 9SM 스니커즈 AAUSN0029LE02MTY0001,5,723000.00,68000.000,655000.000,0.0941
13151355,140453,더베이스_Q,7 FOR ALL MANKIND,진,세븐포올맨카인드 진 JSTLC310MD22GREY,9,383000.00,32000.000,351000.000,0.0836
13146397,96815,더베이스,7 FOR ALL MANKIND,진,세븐포올맨카인드 진 JSZOC100HI ZOEYMIDBLUE,8,442000.00,213000.000,229000.000,0.4819
13153739,139785,더베이스_T,A PUNTO B,팬츠,A PUNTO B 팬츠 P1002 TS647 ECRU,1,705000.00,247000.000,458000.000,0.3504
13150179,63,더베이스,A.P.C.,스니커즈,아페쎄 스니커즈 PUAAW M56112 CAF,10,439000.00,129000.000,310000.000,0.2938
13146686,63,더베이스,A.P.C.,스니커즈,아페쎄 스니커즈 PUAAW M56112 AAB,10,439000.00,129000.000,310000.000,0.2938
13151892,140453,더베이스_Q,ACNE STUDIOS,니트 & 스웨터,아크네 스튜디오 니트 & 스웨터 A60384ANTHRACITEGREY,3,495000.00,71000.000,424000.000,0.1434
13151822,140453,더베이스_Q,ACNE STUDIOS,니트 & 스웨터,아크네 스튜디오 니트 & 스웨터 FNMNKNIT000276B60202,1,674000.00,243000.000,431000.000,0.3605
13151765,140453,더베이스_Q,ACNE STUDIOS,니트 & 스웨터,아크네 스튜디오 니트 & 스웨터 A60384WARMBEIGE,4,495000.00,71000.000,424000.000,0.1434
13151858,140453,더베이스_Q,ACNE STUDIOS,팬츠,아크네 스튜디오 팬츠 FNMNTROU000525BK0399CJHTH,2,589000.00,209000.000,380000.000,0.3548
13152184,262713,더베이스_X,ADIDAS,기타,아디다스 슈즈 H06519NY,30,425000.00,0.000,425000.000,0.0000
13151282,140453,더베이스_Q,ADIDAS,스니커즈,아디다스 스니커즈 H038980ORGTINFOCORAOWHITE,1,216000.00,33000.000,183000.000,0.1528
13151152,140453,더베이스_Q,ADIDAS,스니커즈,아디다스 스니커즈 H018430OWHITEHALMINWONWHI,1,280000.00,48000.000,232000.000,0.1714
13150186,63,더베이스,ADIDAS,스니커즈,아디다스 스니커즈 GY9135 FWHOW,8,345000.00,71000.000,274000.000,0.2058
13151853,140453,더베이스_Q,ADIDAS,티셔츠,아디다스 티셔츠 H090620CLOWHI,8,113000.00,23000.000,90000.000,0.2035
13151849,140453,더베이스_Q,ADIDAS,티셔츠,아디다스 티셔츠 H625190WONWHI,15,120000.00,27000.000,93000.000,0.2250
13151189,140453,더베이스_Q,ADIDAS Y3,팬츠,아디다스 Y3 팬츠 GV4202BLACK,3,301000.00,12000.000,289000.000,0.0399
13147869,96815,더베이스,ALANUI,가디건,알라누이 가디건 LWHB064F22KNI017 8585,1,2231000.00,1151000.000,1080000.000,0.5159
13151274,140453,더베이스_Q,ALANUI,스니커즈,알라누이 스니커즈 LWIG003F21LEA0016060,1,502000.00,95000.000,407000.000,0.1892
13152114,139812,더베이스_R,ALESSANDRA RICH,니트 & 스웨터,알레산드라리치 니트 & 스웨터 FAB3116K3754 811,1,1651000.00,832000.000,819000.000,0.5039
13148466,277577,더베이스_AA,ALEVI,샌들,알레비 샌들 L22WC005U 0687960ELECTRIC,6,1475000.00,765000.000,710000.000,0.5186
13148450,277577,더베이스_AA,ALEVI,샌들,알레비 샌들 L22W3001U 0004402NUDE,8,1439000.00,744000.000,695000.000,0.5170
13164932,262713,더베이스_X,ALEXANDER MCQUEEN,기타,알렉산더 맥퀸 가방 554128DYTBA,6,3505000.00,1021000.000,2484000.000,0.2913
13150194,63,더베이스,ALEXANDER MCQUEEN,스니커즈,알렉산더 맥퀸 스니커즈 718139 WHGP7 8963,10,814000.00,154000.000,660000.000,0.1892
13146701,63,더베이스,ALEXANDER MCQUEEN,스니커즈,알렉산더 맥퀸 스니커즈 718139 WHGP7 8964,9,814000.00,154000.000,660000.000,0.1892
13153840,342319,더베이스_AL,ALEXANDER MCQUEEN KIDS,스니커즈,[키즈] 알랙산더 맥퀸 키즈 스니커즈 687070 WHX12 WHITE PATCHOULI,2,602000.00,219000.000,383000.000,0.3638
13150251,63,더베이스,ALEXANDER WANG,가디건,알렉산더 왕 가디건 1KC4213054 010,1,1736000.00,665000.000,1071000.000,0.3831
13155427,63,더베이스,ALEXANDER WANG,데님 반바지,알렉산더 왕 데님 반바지 4DC1224071 270P,2,525000.00,192000.000,333000.000,0.3657
13152131,139812,더베이스_R,ALEXANDER WANG,파우치,알렉산더 왕 파우치 2030P0073C 001,1,1309000.00,536000.000,773000.000,0.4095
13158490,333703,더베이스_AH,ALICE & OLIVIA,기타,앨리스 앤 올리비아 스커트 CC209J16310BLACK,1,1181000.00,278000.000,903000.000,0.2354
13147784,333703,더베이스_AH,ALICE & OLIVIA,남방 & 블라우스,앨리스 앤 올리비아 남방 & 블라우스 CC208084025A127,2,872000.00,202000.000,670000.000,0.2317
13158486,333703,더베이스_AH,ALICE & OLIVIA,탑,앨리스 앤 올리비아 탑 CC209W25006OFFWHITE,2,615000.00,137000.000,478000.000,0.2228
13146394,96815,더베이스,AMBUSH,백팩 & 벨트백,엠부시 백팩 & 벨트백 BMNO002F22FAB002 1072,1,1547000.00,643000.000,904000.000,0.4156
13151878,140453,더베이스_Q,AMBUSH,자켓,엠부시 자켓 BMBB009F21FLE0010404,2,1151000.00,428000.000,723000.000,0.3719
13150269,63,더베이스,AMBUSH,탑,엠부시 탑 BMAA064F22JER001 1003,9,322000.00,137000.000,185000.000,0.4255
13150268,63,더베이스,AMBUSH,탑,엠부시 탑 BMAA064F22JER001 0310,9,322000.00,137000.000,185000.000,0.4255
13150255,63,더베이스,AMBUSH,후드 스웻셔츠,엠부시 후드 스웻셔츠 BMBB021F22FLE001 0284,9,963000.00,440000.000,523000.000,0.4569
13150249,63,더베이스,AMBUSH,후드 스웻셔츠,엠부시 후드 스웻셔츠 BMBB021F22FLE001 2884,5,963000.00,440000.000,523000.000,0.4569
13152134,139812,더베이스_R,AMI,니트 & 스웨터,아미 니트 & 스웨터 UKC002018 605,3,819000.00,332000.000,487000.000,0.4054
13151131,140453,더베이스_Q,AMI,셔츠 & 남방,아미 셔츠 & 남방 HSH112229001,2,674000.00,162000.000,512000.000,0.2404
13151390,140453,더베이스_Q,AMI,팬츠,아미 팬츠 HTR004258050,2,591000.00,140000.000,451000.000,0.2369
13148390,96815,더베이스,AMINA MUADDI,구두,아미나 무아디 구두 BEGUMGLASS70 PVCTRANSPARENT,1,1547000.00,643000.000,904000.000,0.4156
13144210,262713,더베이스_X,AMINA MUADDI,기타,아미나 무아디 가방 RIHBUCKETBAGSA,6,1550000.00,755000.000,795000.000,0.4871
13146318,136979,더베이스_P,ANDAMANE,기타,ANDAMANE 스커트 T120306ATNP152MIDNIGHT BLUE,5,497000.00,215000.000,282000.000,0.4326
13146308,136979,더베이스_P,ANDAMANE,기타,ANDAMANE 스커트 T120311ATNP152MIDNIGHT BLUE,4,625000.00,276000.000,349000.000,0.4416
13146321,136979,더베이스_P,ANDAMANE,니랭스 원피스/드레스,ANDAMANE 니랭스 원피스/드레스 T120111CTJP106FLORAL BLACK MULTI,2,536000.00,234000.000,302000.000,0.4366
13146310,136979,더베이스_P,ANDAMANE,니랭스 원피스/드레스,ANDAMANE 니랭스 원피스/드레스 T120145ATJP062BLACK,4,625000.00,276000.000,349000.000,0.4416
13146299,136979,더베이스_P,ANDAMANE,니랭스 원피스/드레스,ANDAMANE 니랭스 원피스/드레스 T120102ATJP103CICLAMINO,4,1268000.00,582000.000,686000.000,0.4590
13146328,136979,더베이스_P,ANDAMANE,니트 & 스웨터,ANDAMANE 니트 & 스웨터 T127002AFW023FUCHSIA,4,781000.00,349000.000,432000.000,0.4469
13146316,136979,더베이스_P,ANDAMANE,니트 & 스웨터,ANDAMANE 니트 & 스웨터 T127002AFW023BLACK,5,781000.00,349000.000,432000.000,0.4469
13146320,136979,더베이스_P,ANDAMANE,자켓,ANDAMANE 자켓 T123002ATNP152MIDNIGHT BLUE,3,1383000.00,636000.000,747000.000,0.4599
13146329,136979,더베이스_P,ANDAMANE,탑,ANDAMANE 탑 T120704ATJP103BLACK,5,497000.00,215000.000,282000.000,0.4326
13146324,136979,더베이스_P,ANDAMANE,탑,ANDAMANE 탑 T120719BTJP106FLORAL BLACK MULTI,4,517000.00,225000.000,292000.000,0.4352
13146319,136979,더베이스_P,ANDAMANE,팬츠,ANDAMANE 팬츠 T120407ATNP152MIDNIGHT BLUE,4,625000.00,276000.000,349000.000,0.4416
13146315,136979,더베이스_P,ANDAMANE,팬츠,ANDAMANE 팬츠 T120412CTJP106FLORAL BLACK MULTI,4,497000.00,215000.000,282000.000,0.4326
13146303,136979,더베이스_P,ANDAMANE,팬츠,ANDAMANE 팬츠 T120410CTJP101BLACK,4,517000.00,225000.000,292000.000,0.4352
13144211,262713,더베이스_X,ANDAMANE,팬츠,ANDAMANE 팬츠 T120412CTJP106,1,388000.00,70000.000,318000.000,0.1804
13144199,262713,더베이스_X,ANDAMANE,팬츠,ANDAMANE 팬츠 T120411ATJP062,4,284000.00,49000.000,235000.000,0.1725
13150900,140453,더베이스_Q,ANIYE BY,점프수트/올인원,ANIYE BY 점프수트/올인원 1818222200336,1,589000.00,54000.000,535000.000,0.0917
13150282,63,더베이스,ANTONINO VALENTI,탑,ANTONINO VALENTI 탑 4210AV 22W 10 153,2,1383000.00,490000.000,893000.000,0.3543
13150267,63,더베이스,ANTONINO VALENTI,풀오버,ANTONINO VALENTI 풀오버 4600AV 22W 16 02,1,1256000.00,444000.000,812000.000,0.3535
13146664,63,더베이스,ANTONINO VALENTI,풀오버,ANTONINO VALENTI 풀오버 4600AV 22W 16 05,1,1256000.00,444000.000,812000.000,0.3535
13151766,140453,더베이스_Q,AQUAZZURA,구두,아쿠아주라 구두 SHIHIGB0VEL102,7,1013000.00,201000.000,812000.000,0.1984
13146771,63,더베이스,AQUAZZURA,샌들,아쿠아주라 샌들 SPLHIGS0 SPP CCC,3,1588000.00,565000.000,1023000.000,0.3558
